feat_type,Class,Order,Family,name,total_range_size,subpop_range_size,EU_RedList,Art17_eu_status,Art17_regio_status,prop_range_N2K,prop_range_allPA,prop_range_StPA,,ALIEN,error,notes
EU_species,Amphibia,Anura,Pipidae,Xenopus_laevis,113,NA,NA,NA,NA,0.082460812,0.204343941,0.000255089,,1,,
EU_species,Arachnida,Pseudoscorpiones,Chernetidae,Anthrenochernes_stellae,281,NA,NA,U2,NA,0.076893576,0.108014185,0.012934049,,0,,
EU_species,Malacostraca,Decapoda,Astacidae,Pacifastacus_leniusculus,6,NA,NA,NA,NA,0.079946324,0.424017248,0.0125924,,1,,
EU_species,Insecta,Coleoptera,Leiodidae,Agathidium_pulchellum,1400,NA,NT,U2,NA,0.084347836,0.078610671,0.037293229,,0,,
EU_species,Insecta,Coleoptera,Elateridae,Alestrus_dolosus,23,NA,DD,NA,NA,0,0.165571021,0.026167469,,0,,
EU_species,Insecta,Coleoptera,Anobiidae,Xyletinus_tremulicola,3543,NA,NT,U2,NA,0.065427808,0.065532601,0.031544001,,0,,
EU_species,Aves,Passeriformes,Acrocephalidae,Acrocephalus_dumetorum,4430,NA,LC,NA,NA,0.078630761,0.09864111,0.02623876,,0,,
EU_species,Aves,Passeriformes,Motacillidae,Anthus_petrosus,1575,NA,LC,NA,NA,0.08765632,0.134766324,0.010586899,,0,,
EU_species,Aves,Charadriiformes,Scolopacidae,Arenaria_interpres,910,NA,LC,NA,NA,0.087843796,0.123368269,0.026105974,,0,,
EU_species,Aves,Charadriiformes,Laridae,Larus_fuscus,6145,NA,LC,NA,NA,0.091432243,0.1328197,0.019695172,,0,,
EU_species,Aves,Anseriformes,Anatidae,Oxyura_jamaicensis,176,NA,NA,NA,NA,0.077027881,0.115905054,0.005376035,,1,,
EU_species,Aves,Charadriiformes,Stercorariidae,Stercorarius_pomarinus,18,NA,LC,NA,NA,0.060534786,0.12535938,0,,0,,
EU_species,Aves,Charadriiformes,Scolopacidae,Xenus_cinereus,119,NA,LC,NA,NA,0.05385483,0.057070134,0.02293994,,0,,
EU_species,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga_osloensis,150,NA,VU,U1,NA,0.036423726,0.060217816,0.015019318,,0,,
EU_species,Magnoliopsida,Lamiales,Plantaginaceae,Hippuris_tetraphylla,51,NA,LC,U1,NA,0.035788649,0.102799593,0.020866047,,0,,
EU_species,Magnoliopsida,Asterales,Campanulaceae,Jasione_maritima,4,NA,NA,FV,NA,0.002026889,0.032338655,0,,0,,
EU_species,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria_foliosa,419,NA,NT,U2,NA,0.043687161,0.055422399,0.011950114,,0,,
EU_species,Magnoliopsida,Ericales,Primulaceae,Primula_nutans,87,NA,LC,U1,NA,0.025722076,0.06227535,0.017652504,,0,1,the SDM clearly over-estimated the range. It only occurs in a few islands in the gulf of Botnia
EU_species,Magnoliopsida,Rosales,Rosaceae,Prunus_azorica,11,NA,NA,U2,NA,0,0.232991132,0.040679919,,0,1,"the PA dataset did not include the azore, so it is a false gap"
EU_species,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene_velutina,13,NA,NT,U1,NA,0.065971749,0.209335908,0.0266256,,0,,
EU_species,Liliopsida,Poales,Poaceae,Arctophila_fulva,20,NA,LC,U2,NA,0.034326537,0.047341931,0.00262799,,0,,
EU_species,Liliopsida,Poales,Poaceae,Cinna_latifolia,595,NA,LC,U1,NA,0.076956763,0.091464429,0.023786525,,0,,
