"option","ctype","category","year","y","sd","variable","scale","art"
"loglinear","cdda","All","<2000",0.533985635425226,0.38465817734878,"All","EU","Art_All"
"loglinear","cdda","All","2000-2006",0.584601676620781,0.385413686994253,"All","EU","Art_All"
"loglinear","cdda","All","2006-2012",0.60708152694829,0.379432378691253,"All","EU","Art_All"
"loglinear","cdda","All","2012-2018",0.619408586149868,0.378780902409867,"All","EU","Art_All"
"loglinear","cdda","All","2018-2024",0.623952401590444,0.377751719977659,"All","EU","Art_All"
"loglinear","combined","All","<2000",0.580590630192509,0.355459172809554,"All","EU","Art_All"
"loglinear","combined","All","2000-2006",0.67310985098398,0.342594909845569,"All","EU","Art_All"
"loglinear","combined","All","2006-2012",0.736690807915778,0.316672398496723,"All","EU","Art_All"
"loglinear","combined","All","2012-2018",0.771953859509664,0.292107632517441,"All","EU","Art_All"
"loglinear","combined","All","2018-2024",0.787520022612051,0.283338943962732,"All","EU","Art_All"
"loglinear","natura2000","All","<2000",0.277693087998823,0.313522358941851,"All","EU","Art_All"
"loglinear","natura2000","All","2000-2006",0.458783380767397,0.361408893205681,"All","EU","Art_All"
"loglinear","natura2000","All","2006-2012",0.599755852054091,0.367502189188762,"All","EU","Art_All"
"loglinear","natura2000","All","2012-2018",0.652201855689611,0.356203641838397,"All","EU","Art_All"
"loglinear","natura2000","All","2018-2024",0.667798851492599,0.357946038710699,"All","EU","Art_All"
