"option","category","year","y","sd","ymin","ymax","variable","scale","art"
"flat","Species","<2000",0.0436489985263887,0.0461696967229565,0,0.00201526102422414,"species","EU","12"
"flat","Species","2000-2006",0.0733025620299485,0.0599591970185528,0.0133433650113957,0.00439516275871837,"species","EU","12"
"flat","Species","2006-2012",0.108412211634618,0.076027838903629,0.032384372730989,0.00824234616134287,"species","EU","12"
"flat","Species","2012-2018",0.121525847093006,0.0802842579409809,0.0412415891520252,0.00975661245451111,"species","EU","12"
"flat","Species","2018-2024",0.127022500352959,0.0823059310225788,0.0447165693303797,0.0104547051523661,"species","EU","12"
"loglinear","Species","<2000",0.0663556595405463,0.0543716935021717,0.0119839660383747,0.00360786958267304,"species","EU","12"
"loglinear","Species","2000-2006",0.114585857574268,0.0864684131461258,0.0281174444281427,0.00990805727343497,"species","EU","12"
"loglinear","Species","2006-2012",0.168336189301157,0.116753340531465,0.0515828487696918,0.0196538124332473,"species","EU","12"
"loglinear","Species","2012-2018",0.191483144019012,0.133583104593727,0.0579000394252853,0.0255789128554274,"species","EU","12"
"loglinear","Species","2018-2024",0.20027511914819,0.139648128796771,0.0606269903514191,0.027968045633595,"species","EU","12"
"extinctrisk","Species","<2000",0.0389448070033484,0.0415147283369331,0,0.0016167830828783,"species","EU","12"
"extinctrisk","Species","2000-2006",0.0711879835719155,0.0798834837973932,0,0.0056867441322362,"species","EU","12"
"extinctrisk","Species","2006-2012",0.102625755451142,0.110072781872728,0,0.0112963023942974,"species","EU","12"
"extinctrisk","Species","2012-2018",0.118407382072549,0.129981952937907,0,0.0153908227640549,"species","EU","12"
"extinctrisk","Species","2018-2024",0.12418804114762,0.137204465081505,0,0.0170391537551791,"species","EU","12"
