"option","category","year","y","sd","variable","scale","art"
"flat","All","<2000",0.271031634779801,0.264480805868482,"All","MS","Art_All"
"flat","All","2000-2006",0.524067212533918,0.305208570006439,"All","MS","Art_All"
"flat","All","2006-2012",0.757525897253696,0.275050666149956,"All","MS","Art_All"
"flat","All","2012-2018",0.836983324909071,0.251619253593252,"All","MS","Art_All"
"flat","All","2018-2024",0.856996145581281,0.245069840906523,"All","MS","Art_All"
"loglinear","All","<2000",0.322375123638202,0.28517369277195,"All","MS","Art_All"
"loglinear","All","2000-2006",0.595629656167417,0.342306050648513,"All","MS","Art_All"
"loglinear","All","2006-2012",0.7774191041265,0.307086660075712,"All","MS","Art_All"
"loglinear","All","2012-2018",0.821550905557861,0.285817317795045,"All","MS","Art_All"
"loglinear","All","2018-2024",0.83449246440886,0.278918495956232,"All","MS","Art_All"
"extinctrisk","All","<2000",0.183172670268022,0.214612146807681,"All","MS","Art_All"
"extinctrisk","All","2000-2006",0.335094415436653,0.280610202579059,"All","MS","Art_All"
"extinctrisk","All","2006-2012",0.468993021067318,0.292599344007371,"All","MS","Art_All"
"extinctrisk","All","2012-2018",0.524471709633726,0.292171132878839,"All","MS","Art_All"
"extinctrisk","All","2018-2024",0.550261768328333,0.290450056004672,"All","MS","Art_All"
