"option","category","year","y","sd","variable","scale","art"
"flat","Habitats","<2000",0.264058700015358,0.243879257515494,"habitats","MS","Art_17"
"flat","Habitats","2000-2006",0.513800285279726,0.318745866888338,"habitats","MS","Art_17"
"flat","Habitats","2006-2012",0.730153317233309,0.311834660192667,"habitats","MS","Art_17"
"flat","Habitats","2012-2018",0.80803765392854,0.295914224409225,"habitats","MS","Art_17"
"flat","Habitats","2018-2024",0.824059196026178,0.288806777385047,"habitats","MS","Art_17"
"loglinear","Habitats","<2000",0.340265627779414,0.296227000697316,"habitats","MS","Art_17"
"loglinear","Habitats","2000-2006",0.607995340236877,0.359942459864747,"habitats","MS","Art_17"
"loglinear","Habitats","2006-2012",0.782401668947172,0.309929244783154,"habitats","MS","Art_17"
"loglinear","Habitats","2012-2018",0.831210555878402,0.278415269077919,"habitats","MS","Art_17"
"loglinear","Habitats","2018-2024",0.842839030774348,0.270705293160081,"habitats","MS","Art_17"
"extinctrisk","Habitats","<2000",0.133758081246156,0.134963797089531,"habitats","MS","Art_17"
"extinctrisk","Habitats","2000-2006",0.276278982576816,0.234433105391945,"habitats","MS","Art_17"
"extinctrisk","Habitats","2006-2012",0.411709816985674,0.270293889329911,"habitats","MS","Art_17"
"extinctrisk","Habitats","2012-2018",0.476641047502761,0.278558900429216,"habitats","MS","Art_17"
"extinctrisk","Habitats","2018-2024",0.503170817536883,0.283457485968594,"habitats","MS","Art_17"
