"option","ctype","category","year","y","sd","variable","scale","art"
"loglinear","cdda","All","<2000",0.29175169742237,0.237022452236106,"All","MS","Art_All"
"loglinear","cdda","All","2000-2006",0.340429888292865,0.259138530419558,"All","MS","Art_All"
"loglinear","cdda","All","2006-2012",0.359887499575151,0.267401636412054,"All","MS","Art_All"
"loglinear","cdda","All","2012-2018",0.381026125841829,0.279119924498469,"All","MS","Art_All"
"loglinear","cdda","All","2018-2024",0.391617572535628,0.285768766352139,"All","MS","Art_All"
"loglinear","combined","All","<2000",0.303478157174874,0.237084621244803,"All","MS","Art_All"
"loglinear","combined","All","2000-2006",0.385651325682275,0.276401940981407,"All","MS","Art_All"
"loglinear","combined","All","2006-2012",0.441062780265889,0.296506169968596,"All","MS","Art_All"
"loglinear","combined","All","2012-2018",0.478290041207749,0.312594152272434,"All","MS","Art_All"
"loglinear","combined","All","2018-2024",0.498935348567861,0.320549328012482,"All","MS","Art_All"
"loglinear","natura2000","All","<2000",0.138579211804875,0.166422870101079,"All","MS","Art_All"
"loglinear","natura2000","All","2000-2006",0.253209330168195,0.220080938920726,"All","MS","Art_All"
"loglinear","natura2000","All","2006-2012",0.354784298640838,0.258011072073766,"All","MS","Art_All"
"loglinear","natura2000","All","2012-2018",0.406113128035524,0.279471631570968,"All","MS","Art_All"
"loglinear","natura2000","All","2018-2024",0.426170729981054,0.28941352092374,"All","MS","Art_All"
