"option","ctype","category","year","y","sd","variable","scale","art"
"loglinear","cdda","Habitats","<2000",0.290972415045304,0.211889123155962,"habitats","MS","Art_17"
"loglinear","cdda","Habitats","2000-2006",0.355368531691367,0.236570044235365,"habitats","MS","Art_17"
"loglinear","cdda","Habitats","2006-2012",0.380956686553936,0.24454886929103,"habitats","MS","Art_17"
"loglinear","cdda","Habitats","2012-2018",0.410287440069946,0.254102001641577,"habitats","MS","Art_17"
"loglinear","cdda","Habitats","2018-2024",0.426127100963585,0.262288418822027,"habitats","MS","Art_17"
"loglinear","combined","Habitats","<2000",0.344500896153049,0.234044265237312,"habitats","MS","Art_17"
"loglinear","combined","Habitats","2000-2006",0.455441636592301,0.283024192510194,"habitats","MS","Art_17"
"loglinear","combined","Habitats","2006-2012",0.522616879035929,0.29826344183862,"habitats","MS","Art_17"
"loglinear","combined","Habitats","2012-2018",0.579086966579355,0.314267031316692,"habitats","MS","Art_17"
"loglinear","combined","Habitats","2018-2024",0.605455336229446,0.322293339739089,"habitats","MS","Art_17"
"loglinear","natura2000","Habitats","<2000",0.127122292041495,0.123627705716045,"habitats","MS","Art_17"
"loglinear","natura2000","Habitats","2000-2006",0.258653795747131,0.202420690706633,"habitats","MS","Art_17"
"loglinear","natura2000","Habitats","2006-2012",0.384385572491854,0.246586896741052,"habitats","MS","Art_17"
"loglinear","natura2000","Habitats","2012-2018",0.459731414698292,0.283319897790205,"habitats","MS","Art_17"
"loglinear","natura2000","Habitats","2018-2024",0.490041951284427,0.300986072697832,"habitats","MS","Art_17"
