"year","area_km2","ctype","fullprop"
"<2000",762893.119411149,"cdda",0.133557118445637
"2000-2006",933698.508476234,"cdda",0.163459440275629
"2006-2012",1001351.85008083,"cdda",0.175303281998705
"2012-2018",1090872.62394832,"cdda",0.190975381136254
"2018-2024",1148071.75887578,"cdda",0.20098904025064
"<2000",901799.876284386,"combined",0.157875054613338
"2000-2006",1191036.61741581,"combined",0.208510752735687
"2006-2012",1385009.46981186,"combined",0.242468924022764
"2012-2018",1555208.84371349,"combined",0.272265152827528
"2018-2024",1643792.60245578,"combined",0.287773211895928
"<2000",281233.568490277,"natura2000",0.0492346097533781
"2000-2006",581833.537799286,"natura2000",0.101859629804348
"2006-2012",923181.298032694,"natura2000",0.161618227810626
"2012-2018",1108700.97247941,"natura2000",0.194096529821268
"2018-2024",1176975.32912415,"natura2000",0.206049090547257
